No_Responden,Jarak_Kota,X1.1,X1.2,X1.3,TOTAL X1,X2.1,X2.2,X2.3,TOTAL X2,X3.1,X3.2,X3.3,TOTAL X3,X4.1,X4.2,X4.3,TOTAL X4,Skor_X1,Skor_X2,Skor_X3,Skor_X4,Total_Skor,LABEL
35,JAUH DARI KOTA,3,2,1,6,3,3,2,8,1,1,3,5,1,3,1,5,6,8,5,5,24,SEDANG
36,DEKAT KOTA,3,1,2,6,1,1,2,4,1,2,1,4,3,3,1,7,6,4,4,7,21,SEDANG
37,JAUH DARI KOTA,1,1,3,5,1,3,2,6,3,3,2,8,3,1,1,5,5,6,8,5,24,SEDANG
38,JAUH DARI KOTA,3,1,3,7,1,1,3,5,1,3,1,5,1,2,2,5,7,5,5,5,22,SEDANG
39,JAUH DARI KOTA,3,2,3,8,2,1,3,6,3,1,3,7,3,2,3,8,8,6,7,8,29,SEDANG
40,JAUH DARI KOTA,1,2,2,5,1,1,2,4,3,2,1,6,2,1,2,5,5,4,6,5,20,RENDAH
41,DEKAT KOTA,3,2,2,7,1,1,1,3,2,3,1,6,1,2,1,4,7,3,6,4,20,RENDAH
42,JAUH DARI KOTA,3,3,1,7,1,2,3,6,3,1,2,6,3,3,2,8,7,6,6,8,27,SEDANG
43,JAUH DARI KOTA,2,3,3,8,2,3,1,6,1,2,2,5,2,1,3,6,8,6,5,6,25,SEDANG
44,JAUH DARI KOTA,1,3,1,5,3,1,2,6,1,3,1,5,1,1,2,4,5,6,5,4,20,RENDAH
45,JAUH DARI KOTA,1,2,2,5,1,1,1,3,3,1,2,6,1,3,1,5,5,3,6,5,19,RENDAH
46,JAUH DARI KOTA,3,3,1,7,2,3,1,6,1,2,3,6,3,1,1,5,7,6,6,5,24,SEDANG
47,DEKAT KOTA,2,2,3,7,3,1,3,7,2,2,1,5,2,2,2,6,7,7,5,6,25,SEDANG
48,DEKAT KOTA,2,1,1,4,3,2,3,8,1,1,1,3,1,1,1,3,4,8,3,3,18,RENDAH
49,JAUH DARI KOTA,1,2,3,6,1,2,2,5,3,1,3,7,1,2,2,5,6,5,7,5,23,SEDANG
50,DEKAT KOTA,2,2,3,7,1,1,3,5,1,2,1,4,2,3,1,6,7,5,4,6,22,SEDANG
51,DEKAT KOTA,3,1,2,6,3,1,2,6,3,3,1,7,1,1,2,4,6,6,7,4,23,SEDANG
52,DEKAT KOTA,1,3,3,7,1,1,3,5,2,1,1,4,3,1,2,6,7,5,4,6,22,SEDANG
53,JAUH DARI KOTA,3,1,3,7,1,1,1,3,2,2,3,7,1,1,2,4,7,3,7,4,21,SEDANG
54,JAUH DARI KOTA,1,2,1,4,3,1,1,5,2,1,1,4,2,3,3,8,4,5,4,8,21,SEDANG
55,DEKAT KOTA,2,2,2,6,2,2,3,7,3,2,1,6,2,1,2,5,6,7,6,5,24,SEDANG
56,JAUH DARI KOTA,2,3,1,6,1,3,3,7,3,3,1,7,1,2,2,5,6,7,7,5,25,SEDANG
57,JAUH DARI KOTA,3,3,3,9,2,2,2,6,2,2,2,6,2,3,3,8,9,6,6,8,29,SEDANG
58,JAUH DARI KOTA,3,3,2,8,1,2,1,4,3,2,3,8,2,3,1,6,8,4,8,6,26,SEDANG
59,JAUH DARI KOTA,1,1,2,4,1,2,1,4,1,2,2,5,1,2,1,4,4,4,5,4,17,RENDAH
60,JAUH DARI KOTA,2,3,3,8,3,3,3,9,1,3,3,7,3,3,2,8,8,9,7,8,32,TINGGI
61,DEKAT KOTA,1,3,3,7,3,1,2,6,1,2,3,6,3,1,1,5,7,6,6,5,24,SEDANG
62,JAUH DARI KOTA,2,2,1,5,2,1,2,5,1,1,1,3,2,2,2,6,5,5,3,6,19,RENDAH
63,JAUH DARI KOTA,1,2,2,5,1,3,1,5,2,1,3,6,1,2,3,6,5,5,6,6,22,SEDANG
64,JAUH DARI KOTA,2,3,3,8,1,1,2,4,1,1,3,5,1,3,3,7,8,4,5,7,24,SEDANG
65,DEKAT KOTA,3,2,2,7,2,3,2,7,2,1,2,5,2,3,3,8,7,7,5,8,27,SEDANG
66,JAUH DARI KOTA,3,3,3,9,3,2,3,8,3,1,2,6,2,2,3,7,9,8,6,7,30,SEDANG
67,DEKAT KOTA,3,3,1,7,3,1,2,6,3,1,1,5,3,2,2,7,7,6,5,7,25,SEDANG
68,DEKAT KOTA,2,1,1,4,1,1,2,4,3,1,1,5,2,3,3,8,4,4,5,8,21,SEDANG
69,JAUH DARI KOTA,2,2,3,7,1,3,2,6,1,1,2,4,2,2,3,7,7,6,4,7,24,SEDANG
70,DEKAT KOTA,3,1,2,6,1,1,1,3,1,2,1,4,2,2,3,7,6,3,4,7,20,RENDAH
71,DEKAT KOTA,2,3,2,7,2,2,3,7,3,1,3,7,3,3,3,9,7,7,7,9,30,SEDANG
72,JAUH DARI KOTA,1,3,2,6,2,3,3,8,2,2,1,5,2,2,3,7,6,8,5,7,26,SEDANG
73,DEKAT KOTA,2,1,2,5,3,3,2,8,3,1,1,5,2,2,2,6,5,8,5,6,24,SEDANG
74,DEKAT KOTA,3,1,1,5,3,1,2,6,2,2,1,5,2,3,3,8,5,6,5,8,24,SEDANG
75,JAUH DARI KOTA,1,3,3,7,1,2,2,5,2,1,3,6,2,2,1,5,7,5,6,5,23,SEDANG
76,JAUH DARI KOTA,2,1,3,6,1,1,1,3,1,3,3,7,2,3,3,8,6,3,7,8,24,SEDANG
77,DEKAT KOTA,2,3,1,6,1,2,2,5,2,1,3,6,1,2,3,6,6,5,6,6,23,SEDANG
78,JAUH DARI KOTA,3,1,2,6,1,3,1,5,1,2,2,5,3,1,1,5,6,5,5,5,21,SEDANG
79,JAUH DARI KOTA,1,3,3,7,2,2,2,6,1,1,2,4,1,2,3,6,7,6,4,6,23,SEDANG
80,DEKAT KOTA,2,3,1,6,2,1,3,6,3,3,1,7,1,1,1,3,6,6,7,3,22,SEDANG
81,DEKAT KOTA,3,3,2,8,2,1,3,6,3,3,2,8,2,3,3,8,8,6,8,8,30,SEDANG
82,JAUH DARI KOTA,3,2,3,8,3,1,1,5,2,3,3,8,1,2,1,4,8,5,8,4,25,SEDANG
83,JAUH DARI KOTA,1,1,1,3,3,3,1,7,2,2,2,6,2,1,3,6,3,7,6,6,22,SEDANG
84,JAUH DARI KOTA,2,1,2,5,2,1,3,6,3,1,3,7,1,1,1,3,5,6,7,3,21,SEDANG
85,JAUH DARI KOTA,3,1,2,6,3,3,3,9,3,2,3,8,3,1,3,7,6,9,8,7,30,SEDANG
86,JAUH DARI KOTA,2,2,2,6,2,3,3,8,2,2,3,7,2,1,2,5,6,8,7,5,26,SEDANG
87,DEKAT KOTA,2,1,1,4,3,3,1,7,1,3,2,6,1,3,2,6,4,7,6,6,23,SEDANG
88,JAUH DARI KOTA,1,2,3,6,1,2,1,4,2,3,3,8,1,2,1,4,6,4,8,4,22,SEDANG
89,JAUH DARI KOTA,1,2,2,5,2,3,1,6,1,3,2,6,3,3,3,9,5,6,6,9,26,SEDANG
90,JAUH DARI KOTA,1,3,1,5,1,1,2,4,1,1,2,4,1,3,3,7,5,4,4,7,20,RENDAH
91,DEKAT KOTA,1,2,3,6,2,2,3,7,2,3,2,7,3,1,3,7,6,7,7,7,27,SEDANG
92,DEKAT KOTA,3,3,3,9,2,1,3,6,2,1,1,4,1,1,3,5,9,6,4,5,24,SEDANG
93,JAUH DARI KOTA,3,2,2,7,2,1,1,4,3,1,1,5,1,2,2,5,7,4,5,5,21,SEDANG
94,DEKAT KOTA,3,1,1,5,3,1,1,5,2,3,3,8,3,3,2,8,5,5,8,8,26,SEDANG
95,DEKAT KOTA,2,1,1,4,1,1,2,4,3,2,1,6,2,3,3,8,4,4,6,8,22,SEDANG
96,DEKAT KOTA,2,2,2,6,1,2,2,5,2,3,3,8,1,1,3,5,6,5,8,5,24,SEDANG
97,JAUH DARI KOTA,3,3,2,8,2,3,2,7,2,1,3,6,3,2,3,8,8,7,6,8,29,SEDANG
98,JAUH DARI KOTA,1,1,1,3,3,3,3,9,3,3,1,7,2,1,3,6,3,9,7,6,25,SEDANG
99,DEKAT KOTA,1,3,3,7,1,3,2,6,3,2,2,7,3,1,2,6,7,6,7,6,26,SEDANG
100,DEKAT KOTA,1,2,3,6,3,2,3,8,2,3,1,6,3,1,3,7,6,8,6,7,27,SEDANG
101,JAUH DARI KOTA,1,3,1,5,2,2,1,5,3,1,3,7,2,3,2,7,5,5,7,7,24,SEDANG
102,JAUH DARI KOTA,3,3,3,9,1,1,2,4,2,1,2,5,1,3,2,6,9,4,5,6,24,SEDANG
103,JAUH DARI KOTA,2,1,2,5,2,3,2,7,3,1,2,6,3,1,2,6,5,7,6,6,24,SEDANG
104,JAUH DARI KOTA,1,2,1,4,1,3,1,5,2,2,3,7,2,2,2,6,4,5,7,6,22,SEDANG
105,DEKAT KOTA,1,1,2,4,3,1,3,7,2,2,1,5,2,1,2,5,4,7,5,5,21,SEDANG
106,JAUH DARI KOTA,2,1,1,4,1,2,2,5,3,1,2,6,2,1,3,6,4,5,6,6,21,SEDANG
107,DEKAT KOTA,1,3,2,6,3,2,1,6,1,1,3,5,2,1,1,4,6,6,5,4,21,SEDANG
108,DEKAT KOTA,2,1,2,5,2,2,2,6,2,3,1,6,3,1,3,7,5,6,6,7,24,SEDANG
109,JAUH DARI KOTA,2,1,1,4,3,3,1,7,3,3,3,9,2,2,3,7,4,7,9,7,27,SEDANG
110,JAUH DARI KOTA,3,2,2,7,1,1,2,4,3,3,3,9,3,1,2,6,7,4,9,6,26,SEDANG
111,JAUH DARI KOTA,3,1,3,7,2,1,2,5,2,1,1,4,1,1,1,3,7,5,4,3,19,RENDAH
112,DEKAT KOTA,1,1,3,5,2,1,3,6,3,3,2,8,1,3,2,6,5,6,8,6,25,SEDANG
113,JAUH DARI KOTA,2,2,3,7,1,3,3,7,1,1,1,3,2,1,3,6,7,7,3,6,23,SEDANG
114,DEKAT KOTA,1,3,2,6,3,3,1,7,1,3,1,5,2,2,1,5,6,7,5,5,23,SEDANG
115,JAUH DARI KOTA,2,1,3,6,3,2,1,6,1,2,3,6,2,3,1,6,6,6,6,6,24,SEDANG
116,DEKAT KOTA,3,2,1,6,2,2,3,7,2,3,1,6,3,1,3,7,6,7,6,7,26,SEDANG
117,JAUH DARI KOTA,2,3,3,8,1,2,3,6,2,3,3,8,2,3,2,7,8,6,8,7,29,SEDANG
118,DEKAT KOTA,3,1,2,6,3,3,1,7,2,3,1,6,3,2,3,8,6,7,6,8,27,SEDANG
119,JAUH DARI KOTA,3,3,3,9,1,1,2,4,1,1,2,4,1,1,2,4,9,4,4,4,21,SEDANG
120,JAUH DARI KOTA,2,2,3,7,3,2,2,7,2,3,3,8,1,1,2,4,7,7,8,4,26,SEDANG
121,DEKAT KOTA,3,3,3,9,2,1,2,5,1,1,2,4,1,1,3,5,9,5,4,5,23,SEDANG
122,JAUH DARI KOTA,1,2,2,5,1,3,3,7,1,1,2,4,1,3,1,5,5,7,4,5,21,SEDANG
123,JAUH DARI KOTA,2,2,2,6,2,2,1,5,1,1,1,3,2,3,1,6,6,5,3,6,20,RENDAH
124,DEKAT KOTA,3,1,1,5,3,2,1,6,1,1,3,5,2,3,3,8,5,6,5,8,24,SEDANG
125,JAUH DARI KOTA,2,3,2,7,1,2,1,4,3,3,1,7,3,2,1,6,7,4,7,6,24,SEDANG
126,DEKAT KOTA,3,1,2,6,2,3,2,7,1,2,1,4,1,2,3,6,6,7,4,6,23,SEDANG
127,DEKAT KOTA,2,1,1,4,2,3,3,8,1,1,3,5,2,1,1,4,4,8,5,4,21,SEDANG
128,DEKAT KOTA,3,2,3,8,2,2,2,6,1,3,3,7,2,1,1,4,8,6,7,4,25,SEDANG
129,JAUH DARI KOTA,3,1,1,5,2,1,2,5,3,1,3,7,3,1,1,5,5,5,7,5,22,SEDANG
130,JAUH DARI KOTA,3,1,2,6,2,1,3,6,1,1,3,5,3,2,3,8,6,6,5,8,25,SEDANG
131,DEKAT KOTA,2,3,1,6,2,2,2,6,1,1,1,3,1,1,2,4,6,6,3,4,19,RENDAH
132,DEKAT KOTA,1,2,1,4,3,2,3,8,2,3,1,6,1,1,2,4,4,8,6,4,22,SEDANG
133,JAUH DARI KOTA,3,1,3,7,3,1,1,5,3,1,1,5,1,2,3,6,7,5,5,6,23,SEDANG
134,DEKAT KOTA,3,2,3,8,1,3,1,5,2,1,3,6,3,3,2,8,8,5,6,8,27,SEDANG
135,JAUH DARI KOTA,2,3,1,6,2,3,3,8,2,2,2,6,1,1,3,5,6,8,6,5,25,SEDANG
136,JAUH DARI KOTA,2,1,2,5,3,1,1,5,1,3,2,6,1,3,2,6,5,5,6,6,22,SEDANG
137,DEKAT KOTA,3,2,3,8,2,1,2,5,3,3,2,8,1,1,2,4,8,5,8,4,25,SEDANG
138,DEKAT KOTA,2,3,1,6,2,1,2,5,2,1,2,5,2,3,2,7,6,5,5,7,23,SEDANG
139,DEKAT KOTA,2,2,3,7,1,3,3,7,1,3,1,5,3,1,2,6,7,7,5,6,25,SEDANG
140,DEKAT KOTA,3,3,3,9,3,2,3,8,2,2,2,6,2,1,1,4,9,8,6,4,27,SEDANG
141,JAUH DARI KOTA,3,1,1,5,3,3,3,9,1,1,3,5,2,3,2,7,5,9,5,7,26,SEDANG
142,JAUH DARI KOTA,2,3,3,8,3,1,2,6,1,1,3,5,1,3,2,6,8,6,5,6,25,SEDANG
143,DEKAT KOTA,3,1,1,5,3,3,1,7,2,2,3,7,2,1,3,6,5,7,7,6,25,SEDANG
144,DEKAT KOTA,1,1,2,4,3,3,2,8,1,1,1,3,1,3,3,7,4,8,3,7,22,SEDANG
145,JAUH DARI KOTA,2,2,3,7,3,1,1,5,2,3,2,7,3,1,2,6,7,5,7,6,25,SEDANG
146,JAUH DARI KOTA,2,3,1,6,2,1,2,5,1,3,2,6,2,1,1,4,6,5,6,4,21,SEDANG
147,DEKAT KOTA,2,3,1,6,1,1,2,4,2,2,2,6,3,3,2,8,6,4,6,8,24,SEDANG
148,JAUH DARI KOTA,3,1,1,5,1,2,1,4,3,2,3,8,1,1,1,3,5,4,8,3,20,RENDAH
149,DEKAT KOTA,2,3,2,7,2,1,2,5,2,1,2,5,1,1,1,3,7,5,5,3,20,RENDAH
150,DEKAT KOTA,1,2,1,4,1,2,2,5,3,2,2,7,3,2,2,7,4,5,7,7,23,SEDANG
